date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2024-03-09T19:45:00Z,28,genoa,monza,2,3,0,2,1,monza,genoa,ermanno feliciani
2024-03-10T11:30:00Z,28,lecce,verona,0,1,0,1,1,verona,lecce,daniele chiffi
2024-03-10T14:00:00Z,28,milan,empoli,1,0,1,0,1,milan,empoli,juan luca sacchi
2024-03-10T17:00:00Z,28,juventus,atalanta,2,2,0,1,0,draw,draw,marco guida
2024-03-10T19:45:00Z,28,fiorentina,roma,2,2,1,0,0,draw,draw,davide massa
2024-03-11T19:45:00Z,28,lazio,udinese,1,2,0,0,1,udinese,lazio,gianluca aureliano
2024-03-15T19:45:00Z,29,empoli,bologna,0,1,0,0,1,bologna,empoli,michael fabbri
2024-03-16T14:00:00Z,29,monza,cagliari,1,0,1,0,1,monza,cagliari,matteo marcenaro
2024-03-16T14:00:00Z,29,udinese,torino,0,2,0,1,2,torino,udinese,andrea colombo
2024-03-16T17:00:00Z,29,salernitana,lecce,0,1,0,1,1,lecce,salernitana,fabio maresca
2024-03-16T19:45:00Z,29,frosinone,lazio,2,3,1,1,1,lazio,frosinone,antonio rapuano
2024-03-17T11:30:00Z,29,juventus,genoa,0,0,0,0,0,draw,draw,antonio giua
2024-03-17T14:00:00Z,29,verona,milan,1,3,0,1,2,milan,verona,maurizio mariani
2024-03-17T17:00:00Z,29,roma,sassuolo,1,0,0,0,1,roma,sassuolo,gianluca manganiello
2024-03-17T19:45:00Z,29,inter,napoli,1,1,1,0,0,draw,draw,federico la penna
2024-03-30T11:30:00Z,30,napoli,atalanta,0,3,0,2,3,atalanta,napoli,luca pairetto
2024-03-30T14:00:00Z,30,genoa,frosinone,1,1,1,1,0,draw,draw,juan luca sacchi
