date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2024-04-20T13:30:00Z,30,1. fc köln,darmstadt,0,2,0,0,2,darmstadt,1. fc köln,matthias jöllenbeck
2024-04-20T16:30:00Z,30,union berlin,bayern,1,5,0,2,4,bayern,union berlin,sven jablonski
2024-04-21T13:30:00Z,30,bremen,stuttgart,2,1,1,0,1,bremen,stuttgart,robert schröder
2024-04-21T15:30:00Z,30,dortmund,leverkusen,1,1,0,0,0,draw,draw,daniel siebert
2024-04-21T17:30:00Z,30,freiburg,mainz,1,1,1,1,0,draw,draw,marco fritz
2024-04-26T18:30:00Z,31,bochum,hoffenheim,3,2,2,0,1,bochum,hoffenheim,tobias stieler
2024-04-27T13:30:00Z,31,rb leipzig,dortmund,4,1,2,1,3,rb leipzig,dortmund,deniz aytekin
2024-04-27T13:30:00Z,31,bayern,frankfurt,2,1,1,1,1,bayern,frankfurt,daniel schlager
2024-04-27T13:30:00Z,31,freiburg,wolfsburg,1,2,1,0,1,wolfsburg,freiburg,frank willenborg
2024-04-27T13:30:00Z,31,augsburg,bremen,0,3,0,0,3,bremen,augsburg,tobias welz
2024-04-27T16:30:00Z,31,leverkusen,stuttgart,2,2,0,0,0,draw,draw,felix zwayer
2024-04-28T13:30:00Z,31,m'gladbach,union berlin,0,0,0,0,0,draw,draw,sascha stegemann
2024-04-28T15:30:00Z,31,mainz,1. fc köln,1,1,1,0,0,draw,draw,benjamin brand
2024-04-28T17:30:00Z,31,darmstadt,heidenheim,0,1,0,0,1,heidenheim,darmstadt,bastian dankert
2024-05-03T18:30:00Z,32,hoffenheim,rb leipzig,1,1,0,1,0,draw,draw,harm osmers
2024-05-04T13:30:00Z,32,stuttgart,bayern,3,1,1,1,2,stuttgart,bayern,tobias welz
2024-05-04T13:30:00Z,32,bremen,m'gladbach,2,2,1,1,0,draw,draw,timo gerach
2024-05-04T13:30:00Z,32,dortmund,augsburg,5,1,4,1,4,dortmund,augsburg,robert schröder
2024-05-04T13:30:00Z,32,wolfsburg,darmstadt,3,0,2,0,3,wolfsburg,darmstadt,robert hartmann
2024-05-04T16:30:00Z,32,1. fc köln,freiburg,0,0,0,0,0,draw,draw,sören storks
2024-05-05T13:30:00Z,32,union berlin,bochum,3,4,0,3,1,bochum,union berlin,marco fritz
2024-05-05T15:30:00Z,32,frankfurt,leverkusen,1,5,1,2,4,leverkusen,frankfurt,christian dingert
2024-05-05T17:30:00Z,32,heidenheim,mainz,1,1,0,1,0,draw,draw,sven jablonski
2024-05-10T18:30:00Z,33,augsburg,stuttgart,0,1,0,0,1,stuttgart,augsburg,patrick ittrich
2024-05-11T13:30:00Z,33,1. fc köln,union berlin,3,2,1,2,1,1. fc köln,union berlin,deniz aytekin
2024-05-11T13:30:00Z,33,m'gladbach,frankfurt,1,1,1,1,0,draw,draw,robert schröder
2024-05-11T13:30:00Z,33,rb leipzig,bremen,1,1,0,1,0,draw,draw,sascha stegemann
2024-05-11T13:30:00Z,33,freiburg,heidenheim,1,1,1,1,0,draw,draw,daniel siebert
2024-05-11T16:30:00Z,33,mainz,dortmund,3,0,3,0,3,mainz,dortmund,tobias stieler
